,,,,,,,,,Starts from 01/12/2025,,,,,,
Хлопушка на праздник,节日鞭炮,"


Party Firecracker

",Товары для праздников,节庆商品,Party Supplies,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Брелок-контейнер для спортивного питания,运动营养品钥匙扣式收纳瓶,Protein Powder Keychain Container,Туристическая посуда,旅游餐具,Travel Utensils,Спортивное питание,运动营养,Sports Nutrition,All,12.00%,15.00%,15.00%,11.00%,14.00%,14.00%
Кофр для снегохода,雪地汽车箱,"


Snowmobile Trunk

",Мотоаксессуары,摩托车配件,Motorcycle Accessories,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Чехол для рыбалки и охоты универсальный,钓鱼和狩猎通用保护套,"


Multipurpose Fishing & Hunting Cover

",Спортивные чехлы и сумки,运动套和包,Sport Cases & Bags,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Средство для ухода за зубными протезами,种植牙护理产品,"


Denture Care Product

",Личная гигиена,个人卫生,Personal Hygiene,Профессиональный уход за полостью рта,专业口腔护理,Professional Oral Care,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Радиатор масляный,油散热器,"


Oil Radiator

",Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Комплект мебели для ванной,浴室家具套装,Bathroom Furniture Set,Мебель для ванной,浴室家具,Bathroom Furniture,Мебель,家具,Furniture,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Трековый светильник,轨道灯具,"


Track Lamp

",Бытовое освещение,家用照明,Household Lighting,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Гигрометр для террариума,鱼缸湿度计 ,Terrarium Hygrometer ,Аксессуары для аквариумов и террариумов,鱼缸和爬宠玻璃饲养缸配件,Aquarium & Terrarium Accessories,Товары для животных,宠物用品,Pet Products,All,12.00%,14.00%,15.00%,11.00%,13.00%,14.00%
Ланч-бокс с подогревом,加热午餐盒,"


Self-Heating Lunch Box

",Тепловая обработка,热处理,Thermal Processing,Электронная техника для дома,家用电器,Household Electronic Appliances,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Вал карданный,万向接头轴,Driveshaft,Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Пыльник,防尘套,"


Dust Cover

",Аксессуары,配饰,Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Запчасти для газозаправочного оборудования,充气设备备件,"


Gas Filling Equipment Replacement Parts

",Водоотведение и канализация,排水和下水管道,Water Drainage and Sewerage,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Велокуртка,骑行夹克,Cycling Jacket,Спортивная одежда,运动服,Sports Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Чехол для спортивного мата,运动垫套,"


Exercise Mat Case

",Коврики и маты,地毯和垫子,Rugs & Mats,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Чучело,稻草人,"


Stuffed Animal

",Охота и стрельба,狩猎和射击,Hunting and Shooting,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Велоаптечка,自行车医疗包,"


Bike Emergency Tool Kit

",Товары для велоспорта,自行车运动用品,Cycling Products,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Стационарная лестница,固定梯子,"


Fixed Ladder

",Лестницы стационарные,固定式梯子,Fixed Ladders,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Подушка на руль самоката,滑板车方车把垫,"


Scooter Handlebar Pad

",Скейтборды и самокаты,滑板和滑板车,Skateboards & Scooters,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Столб для электропастуха,电动牧羊犬杆,"


Electric Fence Pole

",Электропастухи и комплектующие,电围栏和配件,Electric Fences & Components,Зоокорма и товары для фермерского хозяйства,宠物饲料与农场用品,Pet Food & Farm Products,All,12.00%,13.00%,13.00%,11.00%,12.00%,12.00%
Аксессуар для сиденья унитаза,马桶座圈配件,Toilet Seat Accessory,Санфаянс и ванны,洁具和浴缸,Bathroom Ceramics & Bathtubs,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Джеггинсы,紧身牛仔裤,"


Jeggings

",Одежда,服装,Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Туалет автомобильный,汽车厕所,"


Car Toilet

",Автоаксессуары,汽车配件,Car Accessories,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Ячмень,大麦,"


Barley

","Сухие завтраки, снэки, суперфудс",谷物片，零食，超级食物,"Breakfast Cereals, Snacks, Superfoods",Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Монитор,显示器,Monitor,Мониторы и запчасти,显示器和零件,Monitors & Replacement Parts,Мониторы,显示器,Monitors,All,12.00%,12.50%,12.50%,11.00%,11.50%,11.50%
Прибор для сладостей,甜点机,"


Tableware for Sweets

",Тепловая обработка,热处理,Thermal Processing,Электронная техника для дома,家用电器,Household Electronic Appliances,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Регистратор коронных разрядов,电晕记录仪,"


Corona Discharge Camera

",Измерительный инструмент,测量工具,Measuring Instrument,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Плавки для малышей,婴幼儿泳裤,"


Swimming Trunks for Babies

",Белье для малышей,婴儿内衣,Baby Underwear,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Растариватель,锥形吨包卸料器,"


Bag Breaker

",Грузоподъемное оборудование,起重设备,Lifting Equipment,"Техника для строительства, ремонта и сада",建筑、装修和园艺设备,"Construction, Renovation & Garden Equipment",All,12.00%,16.00%,16.00%,11.00%,15.00%,15.00%
Багор для бревен,日志挂钩,"


Log Hook

",Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Промышленная автоматика,工业自动机械,"


Industrial Automatic Device

",Промышленное оборудование и комплектующие,工业设备和组件,Industrial Equipment and Components,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Матрас надувной,充气床垫,Air Mattress,Надувная мебель,充气家具,Inflatable Furniture,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Пылесос для бассейна,游泳池吸尘器,"


Pool Cleaner

",Бассейн,游泳池,Pool,"Батуты, бассейны и Sup-доски",蹦床、游泳池和立式桨板,"Trampolines, Pools, and SUP Boards",All,12.00%,16.00%,16.00%,11.00%,15.00%,15.00%
Микрочип для животных,动物芯片,Microchip Implant (Animal),Ветаптека (расходные материалы),兽医药房（耗材）,Vet pharmacy (consumables),Гигиена и уход для животных,宠物卫生与护理,Pet Hygiene & Care,All,12.00%,13.00%,13.00%,11.00%,12.00%,12.00%
Удлинитель для валика,滚筒延长电缆,"


Roller Extension

",Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Пистолет для ошиповки,导射枪,"


Stud Gun

",Товары для гаражей и автосервисов,车库和汽车服务用品,Garage and Car Services Products,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Крючок дверной,门钩,Door Hook,"Ручки, замки и фурнитура",把手、锁和铰链,"Handles, Locks and Fittings",Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Оборудование для обогрева террариума,饲养箱加热设备,Terrarium Heating Equipment,Аксессуары для аквариумов и террариумов,鱼缸和爬宠玻璃饲养缸配件,Aquarium & Terrarium Accessories,Товары для животных,宠物用品,Pet Products,All,12.00%,14.00%,15.00%,11.00%,13.00%,14.00%
Фидер для пейнтбола,彩弹送料器,"


Paintball Hopper

",Пейнтбол,彩弹射击,Paintball,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Сушилка для боксерских перчаток,拳击手套烘干机,"


Boxing Glove Dryer

",Спортивный инвентарь,运动器材,Sports Equipment,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Снегокат,雪橇车,"


Snow Racer

","Санки, снегокаты, тюбинги",雪橇、雪橇、滑雪气垫圈,"Sledges, Snowmobiles, Tubing",Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Средство для ухода за обувью,鞋类护理产品,"


Shoe Care Product

",Аксессуары для одежды и обуви,服装和鞋类配件,Clothing & Shoes Accessories,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Антиоксидант для витража,彩画玻璃抗氧化剂,"


Antioxidant for Stained Glass

",Материал для рукоделия,手工艺品材料,Handicraft Material,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Маска гобо,投影模具,"


Gobo

",Оборудование для фотостудии,摄影工作室设备,Photo Studio Equipment,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
Поршень,活塞,"


Piston

",Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Гель для бровей,眉毛凝胶,Eyebrow Gel,Декоративная косметика,彩妆化妆品,Decorative Cosmetics,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Абразив ювелирный,珠宝磨具,"


Jewelry Abrasive

",Оборудование для ювелирных работ,珠宝制造设备,Jewelry Equipment,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Средство для воронения,蓝化用品,"


Blueing Agent

",Товары для ухода за оружием,武器养护产品,Weapon Care Products,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
"Клапан, крышка для сумки",包袋扣盖,"Valve, Bag Cover","Заготовка, фурнитура для рукоделия",手工用品,Arts & Crafts Accessories,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Водное оружие,水枪,"


Water Weapons

",Игрушки,玩具,Toys,Игрушки,玩具,Toys,All,12.00%,14.00%,17.50%,11.00%,13.00%,16.50%
Чашечная поилка,杯喂水器,"


Cup Waterer

",Системы кормления и поения для с/х животных и птиц,牲畜和家禽喂养饮水系统,Livestock & Poultry Feeding and Watering Systems,Зоокорма и товары для фермерского хозяйства,宠物饲料与农场用品,Pet Food & Farm Products,All,12.00%,13.00%,13.00%,11.00%,12.00%,12.00%
Противопролежневый матрас,防褥疮床垫,"


Anti-Decubitus Mattress

",Текстиль медицинский,医用纺织品,Medical Textiles,Средства для реабилитации,康复设备,Rehabilitation Products,All,12.00%,14.00%,17.00%,11.00%,13.00%,16.00%
Шарики паяльные BGA,BGA焊接球,"


BGA Solder Balls 

",Паяльное оборудование,焊接设备,Soldering Equipment,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Установочный кронштейн,定位支架,"


Supporting Bracket

",Арматура и аксессуары для сантехники,水暖器材和配件,Plumbing Fittings and Accessories,Сантехника,卫浴设备,Bathroom Equipment,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Запчасть для детского электромобиля,儿童电动车零配件,"


Children's Electric Ride-On Toy Replacement Part

",Электромобили детские,儿童电动车,Kids Electric Cars,Спорт детский,儿童运动用品,Kids Sports,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Воск для нити,螺纹蜡 ,Thread Wax ,Аксессуары для творчества,手工用品,Arts & Crafts Accessories,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Бант подарочный,礼品蝴蝶结,"


Gift Wrap Bow

",Товары для праздников,节庆商品,Party Supplies,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Бандаж универсальный,通用绷带,"


Universal Bandage

",Экипировка и защита,装备与护具,Equipment & Protection,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Аквариум,水族馆,Aquarium,Аквариумы и террариумы,鱼缸和爬宠玻璃饲养缸,Aquariums & Terrariums,Товары для животных,宠物用品,Pet Products,All,12.00%,14.00%,15.00%,11.00%,13.00%,14.00%
Штукатурно-клеевая смесь,石膏粘合剂混合物,"


Plaster & Adhesive Mix

",Строительные смеси,建筑混合料,Construction Mixes,Тяжелая стройка,重型建筑,Heavy Construction,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Кромкооблицовочный станок,封边机,Edge Bander,Станок,机床,Machine Tool,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Батон для мажоретки,爵士舞拐杖,"


Majorette Baton

",Цирковой реквизит,马戏团道具,Circus Props,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Ворота безопасности,安全门栏,Security Gates,Манеж,婴儿围栏,Playpen,"Детская электроника, мебель, аксессуары",儿童电子产品、家具、配件,"Kids Electronics, Furniture, Accessories",All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Ящик для ключей,钥匙箱,"


Key Box

",Канцелярия,文具,Stationery,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Пурифайер,直饮水机,"


Water Purifier

",Кулеры для воды,水冷却器,Water Coolers,Электронная техника для дома,家用电器,Household Electronic Appliances,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Холодная сварка,冷焊,"


Cold Welding

",Автохимия и автокосметика,汽车化工产品和汽车护理产品,Car Chemical Products & Car Care Products,Тяжелая стройка,重型建筑,Heavy Construction,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Фен для эмбоссинга,压花吹风机,"


Embossing Hair Dryer

",Аксессуары для творчества,手工用品,Arts & Crafts Accessories,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Мастика для волос,发膏,Hair Paste,Косметика для ухода за волосами,护发产品,Hair Care Products,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Фонарь для коляски,婴儿车灯,"


Stroller Flashlight

",Фонари и аксессуары,手电筒及配件,Flashlights & Accessories,"Детская электроника, мебель, аксессуары",儿童电子产品、家具、配件,"Kids Electronics, Furniture, Accessories",All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Ткань для туристической раскладушки,旅行折叠床面料,"


Camping Cot Fabric

",Кемпинговая мебель,野营家具,Camping Furniture,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Прочие туристические аксессуары,其他旅行配件,"


Other Camping Accessories

",Аксессуары для туризма,旅游配件,Outdoor Accessories,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Кондитерское изделие для взрослых,成人甜品,Confectionery for Adults,Кондитерские изделия 18+,成人的糖果点心,18+ Confectionery Products,Товары для взрослых,成人用品,Adult Products,All,12.00%,14.00%,21.00%,11.00%,13.00%,20.00%
Аксессуары для боксерского мешка,拳击袋配件,"


Punching Bag Accessories

",Спортивный инвентарь,运动器材,Sports Equipment,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Водоналивной мешок,水沙袋,"


Water Bag

",Боксерские груши и мешки,拳击沙袋,Punching Bags,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Зубная паста,牙膏,Toothpaste,Средства для гигиены полости рта,口腔卫生用品,Oral Hygiene Products,Личная гигиена,个人卫生用品,Personal Hygiene,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Набор для проведения праздника,度假套装,Holiday Set,Товары для праздников,节庆商品,Party Supplies,"Декор, уборка и хранение",装饰、清洁与储物,"Decor, Cleaning & Storage",All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
"Крышка для кружки, чашки, стакана",马克杯， 杯子， 玻璃盖 ,"Mug, Cup, Glass Lid ",Посуда для приготовления,炊具,Cookware,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Инструмент для заточки садового инструмента,用于打磨园艺工具的工具,"


Garden Tool Sharpener

",Садовый инвентарь,园林工具,Garden Equipment,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Доска для иконописи,圣像画术板,"


Icon Board

",Реставрация и золочение,修复和镀金,Restoration & Gilding,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Крышка для прицепа,拖车盖,"


Trailer Lid

",Перевоз багажа,行李运输,Luggage Transportation,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Шины для коммерческого транспорта,商用车轮胎,"


Commercial Vehicles Tires

",Шины,轮胎,Tires,Шины,轮胎,Tires,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Аксессуар для дозатора,分配器配饰,Dispenser Accessory,Аксессуары для бани и ванной,桑拿和浴室配件,Sauna & Bath Accessories,Дом и сад,住宅和花园,House & Garden,All,12.00%,14.00%,20.00%,11.00%,13.00%,19.00%
Мотоочки,摩托车眼镜,Motorcycle Glasses,Мотоэкипировка,摩托车装备,Motorcycle Gear,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Сухие сливки,干奶油,"


Cream Powder

","Соль, сахар, специи",盐、 糖、 香料,"Salt, Sugar, Spices",Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Набор для изготовления косметического скраба,化妆品磨砂膏制作套件,Cosmetic Scrub Making Kit,"Набор для рукоделия, творчества",手工制作套件,Handicraft Kit,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Подушка самонадувающаяся,自充气枕头,"


 Self-Inflating Pillow

",Коврики и маты,地毯和垫子,Rugs & Mats,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Мяч для сквоша,壁球,Squash Ball,"Мячи, воланы, снаряды",球，羽毛球，体操器械,"Balls, Shuttlecocks, Equipment",Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Плитка из соли,盐砖,"


Salt Tiles

",Плитка и керамогранит,瓷砖和瓷片,Tile and Porcelain Stoneware,Отделочные материалы,装饰材料,Finishing Materials,All,12.00%,14.00%,14.00%,11.00%,13.00%,13.00%
Защита корпуса,躯干保护,Body Protector,Экипировка и защита,装备与护具,Equipment & Protection,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Круассаны,羊角面包,Croissants,Хлеб и кондитерские изделия,面包和糖果点心,Bread & Confectionery,Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Крышка бачка ГУР,动力转向油盖,Power Steering Reservoir Cap,Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Ключ для велосипеда,自行车扳手,Bike Key,Инструменты для ремонта и строительства,建筑和装修工具,Repair and Construction Tool,Ручные и измерительные инструменты,手动工具和测量仪器,Hand & Measuring Tools,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Сухой завтрак,早餐麦片,"


Breakfast Cereal

","Сухие завтраки, снэки, суперфудс",谷物片，零食，超级食物,"Breakfast Cereals, Snacks, Superfoods",Продукты питания,食品,Food,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Ценникодержатель,价格标签持有人,"


Price Tag Holder

",Оборудование для торговли,商业设备,Trade Equipment,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Щит для метания мяча в цель,用于将球扔向目标的盾牌,"


Bullseye for Ball Throwing

",Спортивный инвентарь,运动器材,Sports Equipment,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Радиатор отопителя салона,车厢加热器散热器,"


Interior Car Heater Radiator

",Запчасти для легковых автомобилей,乘用车配件,Car Replacement Parts,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Размораживатель стекол,玻璃除霜器,"


Glass Defroster

",Автохимия и автокосметика,汽车化工产品和汽车护理产品,Car Chemical Products & Car Care Products,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Лайтстик,荧光棒,Light Stick,Фонари и аксессуары,手电筒及配件,Flashlights & Accessories,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Набор для донной рыбалки,底钓套装,Bottom Fishing Set,Аксессуары и принадлежности для рыбалки,钓鱼配件和附配件,Fishing Accessories & Supplies,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Трубочки для фляг,烧瓶吸管,"


Bottle Straw

",Туристическая посуда,旅游餐具,Travel Utensils,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
Рукомойник для грузовика,卡车洗手盆,"


Truck Tap Up Hand Sink

",Автоаксессуары,汽车配件,Car Accessories,Автотовары,汽车用品,Car Products,All,12.00%,17.00%,17.00%,11.00%,16.00%,16.00%
Костюм сноубордический,单板滑雪服,"


Snowboard Suit

",Спортивная одежда,运动服,Sports Clothing,Верхняя одежда,外衣,Outerwear,All,10.00%,10.00%,10.00%,9.00%,9.00%,9.00%
Плоскорез,平切机,"


Subsurface Cultivator

",Садовый инвентарь,园林工具,Garden Equipment,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Легинсы для дома,家居打底裤 ,Home Leggings ,Одежда,服装,Clothing,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Мочалка,澡巾,Shower Puff,Мочалки и спонжи,搓澡巾和海绵,Shower Puffs and Sponges,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Лак для волос,发胶,Hair Spray,Косметика для ухода за волосами,护发产品,Hair Care Products,Красота и здоровье,美容与健康,Beauty & Health,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Набор велофонарей,自行车灯组,Bike Lights Set,Фонари и аксессуары,手电筒及配件,Flashlights & Accessories,Товары для спорта и отдыха,运动和休闲用品,Sports & Recreation Products,All,12.00%,19.00%,19.00%,11.00%,18.00%,18.00%
"Идентификационный браслет, карта",识别手镯、卡片,"


Identification Bracelet, Card

",Электронная карта/браслет,电子卡/手环,Electronic Card/Wristband,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
"Блокиратор дверей, ящиков, окон",门、抽屉、窗户锁具,"Door, Drawer, Window Lock",Безопасность ребенка,儿童安全,Kid Safety,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Магическая канцелярия,魔术办公室,Magic Office,Гадания и эзотерика,占卜和神秘学用品,Divination and Esotericism,"Хобби, творчество и канцелярия",兴趣、创意与文具,"Hobbies, Creative Activities & Stationery",All,12.00%,14.00%,16.00%,11.00%,13.00%,15.00%
Укладка врача скорой помощи,急诊医师工具箱,"


Emergency Physician Kit

",Аптечка,急救箱,Medical Kit,Аптека,药店,Pharmacy,All,12.00%,14.00%,18.00%,11.00%,13.00%,17.00%
Козырек над крыльцом,门廊上方的天篷,"


Porch Canopy

",Входные двери,前门,Front Doors,Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Рулонная гидроизоляция,防水卷材,"


Rolled Waterproofing Materials

",Изоляционные материалы,绝缘材料,Insulating Materials,Тяжелая стройка,重型建筑,Heavy Construction,All,11.00%,11.00%,11.00%,10.00%,10.00%,10.00%
Стопор колес мебельный,家具轮塞,"


Furniture Wheel Stopper

","Ручки, замки и фурнитура",把手、锁和铰链,"Handles, Locks and Fittings",Строительство и ремонт,建筑和装修,Construction & Renovation,All,12.00%,18.00%,18.00%,11.00%,17.00%,17.00%
Держатель для сумки,包架,Bag Holder,Бижутерные украшения,服装首饰,Costume Jewelry,Одежда и аксессуары,服装和配饰,Clothing & Accessories,All,12.00%,14.00%,20.50%,11.00%,13.00%,19.50%
Аксессуар для холодильника,冰箱配件,"


Refrigerator Accessory

",Аксессуары и запчасти для бытовой техники,家用电器配件和备件,Home Appliance Replacement Parts and Accessories,Аксессуары для электроники,电子产品配饰,Electronics Accessories,All,12.00%,20.00%,20.00%,11.00%,19.00%,19.00%
